email, senha
 0.15767149680973@mail.com,user123   
 0.007945893074233632@mail.com,user123  
 0.5105147762011416@mail.com,user123  
 0.2266615357348973@mail.com,user123  
 0.32865046667282766@mail.com,user123  
 0.9210125435589119@mail.comu,ser123  
 0.8450670231150168@mail.comu,ser123  
 0.45754690628455735@mail.com,user123  
 0.906493663550714@mail.com,user123  
 0.06101835901352029@mail.com,user123 
 0.2650313211068436@mail.com,user123  
 0.6777468773491023@mail.com,user123  
 0.4608149996338966@mail.com,user123  
 0.32844639677370857@mail.com,user123  
 0.7889959695073623@mail.com,user123  
 0.18892352782481778@mail.com,user123  
 0.6908914222506868@mail.com,user123  
 0.7592159469842839@mail.com,user123  
 0.4721268512704419@mail.com,user123  
 0.05337516624009247@mail.com,user123  
 0.39854829806912273@mail.com,user123  
 0.6966263109363372@mail.com,user123  
 0.7149788505527711@mail.com,user123  
 0.2998349980727934@mail.com,user123  
 0.17774310176285096@mail.com,user123  
 0.7452828905918669@mail.com,user123  
 0.7721664594666855@mail.com,user123  
 0.7191637349866258@mail.com,user123  
 0.239784552396363@mail.com,user123  
 0.5876377408608652@mail.com,user123  
 0.13258657805612675@mail.com,user123  
 0.19399275140490319@mail.com,user123  
 0.1437743227336158@mail.com,user123  
 0.2810614578276417@mail.com,user123  
 0.9478616092649633@mail.com,user123  
 0.7742788303226077@mail.com,user123  
 0.8411425629257523@mail.com,user123  
 0.5168342322583371@mail.com,user123  
 0.12227207108573822@mail.com,user123  
 0.8433281560444589@mail.com,user123    
